Title,IMDBScore,GenreID,rank_no
"David Attenborough: A Life on Our Planet",9,G1,1
"Emicida: AmarElo - It's All For Yesterday",8.6,G1,2
"Winter on Fire: Ukraine's Fight for Freedom",8.4,G1,3
"Dancing with the Birds",8.3,G1,4
"Cuba and the Cameraman",8.3,G1,4
13th,8.2,G1,6
Seaspiracy,8.2,G1,6
"The Three Deaths of Marisela Escobedo",8.2,G1,6
"Disclosure: Trans Lives on Screen",8.2,G1,6
"Rising Phoenix",8.1,G1,10
"My Octopus Teacher",8.1,G1,10
"Chasing Coral",8.1,G1,10
"Struggle: The Life and Lost Art of Szukaiski",8,G1,13
Icarus,7.9,G1,14
"A Secret Love",7.9,G1,14
"The Ivory Game",7.9,G1,14
"Crip Camp: A Disability Revolution",7.7,G1,17
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",7.7,G1,17
"Brene Brown: The Call to Courage",7.7,G1,17
Quincy,7.6,G1,20
"Tell Me Who I Am",7.6,G1,20
"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",7.6,G1,20
"The Social Dilemma",7.6,G1,20
"What Happened, Miss Simone?",7.6,G1,20
"The Bleeding Edge",7.6,G1,20
"Athlete A",7.6,G1,20
"The White Helmets",7.5,G1,27
"Reversing Roe",7.5,G1,27
"Blackpink: Light Up the Sky",7.5,G1,27
"Joan Didion: The Center Will Not Hold",7.5,G1,27
"Homecoming: A Film by Beyonce",7.5,G1,27
"Dick Johnson Is Dead",7.5,G1,27
"City of Joy",7.5,G1,27
"The Speed Cubers",7.4,G1,34
"The Black Godfather",7.4,G1,34
Shirkers,7.4,G1,34
"Period. End of Sentence.",7.4,G1,34
"Miss Americana",7.4,G1,34
"Long Shot",7.4,G1,34
"Fire in Paradise",7.4,G1,34
"American Factory",7.4,G1,34
Tig,7.4,G1,34
"They'll Love Me When I'm Dead",7.4,G1,34
"Father Soldier Son",7.3,G1,44
"Get Me Roger Stone",7.3,G1,44
"The Death and Life of Marsha P. Johnson",7.3,G1,44
"Team Foxcatcher",7.3,G1,44
"Sky Ladder: The Art of Cai Guo-Qiang",7.3,G1,44
"The Other One: The Long Strange Trip of Bob Weir",7.3,G1,44
"Mucho Mucho Amor: The Legend of Walter Mercado",7.3,G1,44
"ReMastered: Massacre at the Stadium",7.3,G1,44
"Secrets of the Saqqara Tomb",7.3,G1,44
"ReMastered: The Two Killings of Sam Cooke",7.3,G1,44
Extremis,7.3,G1,44
Zion,7.2,G1,55
"The Edge of Democracy",7.2,G1,55
"Into the Inferno",7.2,G1,55
"American Murder: The Family Next Door",7.2,G1,55
"Audrie & Daisy",7.2,G1,55
"Fyre: The Greatest Party That Never Happened",7.2,G1,55
"Ladies First",7.2,G1,55
"LA Originals",7.2,G1,55
"Joshua: Teenager vs. Superpower",7.1,G1,63
"Circus of Books",7.1,G1,63
"Keith Richards: Under the Influence",7.1,G1,63
"ReMastered: Tricky Dick & the Man in Black",7.1,G1,63
"El Pepe: A Supreme Life",7.1,G1,63
"My Beautiful Broken Brain",7.1,G1,63
"Dance Dreams: Hot Chocolate Nutcracker",7.1,G1,63
"One of Us",7.1,G1,63
"Ram Dass, Going Home",7.1,G1,63
"Rooting for Roona",7.1,G1,63
"End Game",7.1,G1,63
"Guillermo Vilas: Settling the Score",7.1,G1,63
"The Great Hack",7.1,G1,63
Evelyn,7.1,G1,63
"Grass Is Greener",7.1,G1,63
"Knock Down the House",7.1,G1,63
"Los Tigres del Norte at Folsom Prison",7,G1,79
"ReMastered: Devil at the Crossroads",7,G1,79
Pele,7,G1,79
"Feminists: What Were They Thinking?",7,G1,79
"Operation Varsity Blues: The College Admissions Scandal",7,G1,79
"ReMastered: The Miami Showband Massacre",7,G1,79
"Lorena, Light-Footed Woman",7,G1,79
"Kingdom of Us",7,G1,79
Resurface,7,G1,79
"Gaga: Five Foot Two",7,G1,79
"ReMastered: The Lion's Share",7,G1,79
"Bigflo & Oli: Hip Hop Frenzy",6.9,G1,90
"Seeing Allred",6.9,G1,90
"Amanda Knox",6.9,G1,90
Laerte-se,6.9,G1,90
"Biggie: I Got a Story to Tell",6.9,G1,90
"ReMastered: Who Shot the Sheriff?",6.9,G1,90
"Spelling the Dream",6.9,G1,90
"The Claudia Kishi Club",6.9,G1,90
"All in My Family",6.8,G1,98
"Saving Capitalism",6.8,G1,98
"The Trader",6.8,G1,98
Becoming,6.8,G1,98
"Tony Parker: The Final Shot",6.8,G1,98
"A Love Song for Latasha",6.8,G1,98
"GIMS: On the Record",6.8,G1,98
"Have a Good Trip: Adventures in Psychedelics",6.8,G1,98
Heroin(e),6.8,G1,98
"A Life of Speed: The Juan Manuel Fangio Story",6.8,G1,98
"Mercury 13",6.8,G1,98
CounterPunch,6.7,G1,109
"Hope Frozen: A Quest to Live Twice",6.7,G1,109
"Bikram: Yogi, Guru, Predator",6.7,G1,109
"Little Miss Sumo",6.7,G1,109
"Parchis: The Documentary",6.7,G1,109
"Tony Robbins: I Am Not Your Guru",6.7,G1,109
"Giving Voice",6.7,G1,109
"Crack: Cocaine, Corruption & Conspiracy",6.7,G1,109
"The American Meme",6.6,G1,117
"ReMastered: Who Killed Jam Master Jay?",6.6,G1,117
"What Would Sophia Loren Do?",6.6,G1,117
"Shawn Mendes: In Wonder",6.6,G1,117
"Recovery Boys",6.6,G1,117
"I'll Sleep When I'm Dead",6.6,G1,117
"It Takes a Lunatic",6.6,G1,117
"Life Overtakes Me",6.5,G1,124
"Chadwick Boseman: Portrait of an Artist",6.5,G1,124
"Dolly Parton: A MusiCares Tribute",6.5,G1,124
"Nobody Speak: Trials of the Free Press",6.5,G1,124
"A 3 Minute Hug",6.5,G1,124
"Antoine Griezmann: The Making of a Legend",6.5,G1,124
Birders,6.4,G1,130
"The Mars Generation",6.4,G1,130
"My Own Man",6.4,G1,130
"Two Catalonias",6.4,G1,130
"Strong Island",6.4,G1,130
"Take Your Pills",6.4,G1,130
"Anelka: Misunderstood",6.4,G1,130
"Murder to Mercy: The Cyntoia Brown Story",6.4,G1,130
"John Was Trying to Contact Aliens",6.4,G1,130
"Travis Scott: Look Mom I Can Fly",6.3,G1,139
"Nail Bomber: Manhunt",6.3,G1,139
"The Legend of Cocaine Island",6.3,G1,139
"A Tale of Two Kitchens",6.3,G1,139
Voyuer,6.2,G1,143
"The Rachel Divide",6.2,G1,143
"Casting JonBenet",6.1,G1,145
"Hot Girls Wanted",6.1,G1,145
"Notes from Dunblane: Lesson from a School Shooting",5.9,G1,147
"The Minimalists: Less Is Now",5.9,G1,147
"Out of Many, One",5.7,G1,149
"One Take",5.7,G1,149
"Why Did You Kill Me?",5.6,G1,151
"Ghosts of Sugar Land",5.5,G1,152
"Strip Down, Rise Up",5.2,G1,153
"We Are One",4.6,G1,154
"After Maria",4.6,G1,154
"Hello Privilege. It's Me, Chelsea",4.4,G1,156
"After the Raid",4.3,G1,157
"Searching for Sheela",4.1,G1,158
"Enter the Anime",2.5,G1,159
"The Half of It",6.9,G10,1
"Our Souls at Night",6.9,G10,1
"Malcolm & Marie",6.7,G10,3
"Elisa & Marcela",6.6,G10,4
"All the Bright Places",6.5,G10,5
Tramps,6.5,G10,5
"Layla Majnun",6.4,G10,7
"Holiday in the Wild",6.1,G10,8
Rebecca,6,G10,9
"Christmas Inheritance",5.7,G10,10
"Caught by a Wave",5.7,G10,10
"One-Way to Tomorrow",5.6,G10,12
"Geez & Ann",5.1,G10,13
"Paris Is Us",4.6,G10,14
Klaus,8.2,G11,1
"If Anything Happens I Love You",7.8,G11,2
"Road to Roma",7.7,G11,3
"Invader Zim: Enter the Florpus",7.5,G11,4
"Sitara: Let Girls Dream",7.3,G11,5
"Octonauts & the Great Barrier Reef",7.3,G11,5
"The Road to El Camino: A Breaking Bad Movie",7.2,G11,7
"Angela's Christmas",7.1,G11,8
"Angela's Christmas Wish",7.1,G11,8
"Rocko's Modern Life: Static Cling",7,G11,10
"Cops and Robbers",6.9,G11,11
"Arlo the Alligator Boy",6.7,G11,12
"A Whisker Away",6.7,G11,12
Blame!,6.7,G11,12
Canvas,6.5,G11,15
"Altered Carbon: Resleeved",6.5,G11,15
"Sturgill Simpson Presents: Sound & Fury",6.4,G11,17
"Over the Moon",6.4,G11,17
"The Willoughbys",6.4,G11,17
"Octonauts & the Caves of Sac Actun",6.2,G11,20
"The Claus Family",5.8,G11,21
"The Larva Island Movie",5.1,G11,22
Fearless,4.9,G11,23
"Sol Levante",4.7,G11,24
"Freaks: You're One of Us",5.4,G12,1
"Springsteen on Broadway",8.5,G13,1
"The Irishman: In Conversation",7.4,G13,2
"13th: A Conversation with Oprah Winfrey & Ava DuVernay",7.1,G13,3
"Loudon Wainwright III: Surviving Twin",7.1,G13,3
"Ma Rainey's Black Bottom: A Legacy Brought to Screen",7,G13,5
"I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron",7,G13,5
"The Boys in the Band: Something Personal",6.8,G13,7
"Rodney King",5.8,G13,8
"American Factory: A Conversation with the Obamas",5.2,G13,9
"The King",7.2,G14,1
"Outlaw King",6.9,G14,2
"Dolemite Is My Name",7.3,G15,1
"The Dirt",7,G15,2
Mank,6.9,G15,3
"A Futile and Stupid Gesture",6.8,G15,4
"Baggio: The Divine Ponytail",6.2,G15,5
"Roxanne Roxanne",6.2,G15,5
Sergio,6.1,G15,7
"The Most Hated Woman in America",6.1,G15,7
"Come Sunday",6,G15,9
Barry,5.8,G15,10
"Taylor Swift: Reputation Stadium Tour",8.4,G16,1
"Ben Platt: Live from Radio City Music Hall",8.4,G16,1
"Justin Timberlake + The Tennessee Kids",7.7,G16,3
"Barbra: The Music, The Mem'ries, The Magic!",7.5,G16,4
"Shawn Mendes: Live in Concert",7.4,G16,5
"Ariana Grande: Excuse Me, I Love You",6.4,G16,6
"Love per Square Foot",7.2,G17,1
"To All the Boys I've Loved Before",7.1,G17,2
"Always Be My Maybe",6.8,G17,3
"Crazy About Her",6.6,G17,4
"Set It Up",6.5,G17,5
"Isi & Ossi",6.4,G17,6
"When We First Met",6.4,G17,6
"To All the Boys: Always and Forever",6.3,G17,8
"I Am Not an Easy Man",6.3,G17,8
"Alex Strangelove",6.3,G17,8
"Someone Great",6.2,G17,11
"The Lovebirds",6.1,G17,12
Holidate,6.1,G17,12
"The Kissing Booth",6,G17,14
"The Princess Switch",6,G17,14
"To All the Boys: P.S. I Still Love You",6,G17,14
Maska,5.9,G17,17
"A California Christmas",5.8,G17,18
"A Christmas Prince",5.8,G17,18
"Happy Anniversary",5.8,G17,18
"Let It Snow",5.8,G17,18
"Operation Christmas Drop",5.8,G17,18
"You've Got This",5.8,G17,18
"Rich in Love",5.8,G17,18
"The Perfect Date",5.8,G17,18
"Sierra Burgess Is a Loser",5.8,G17,18
"The Kissing Booth 2",5.8,G17,18
