title,Genre
"Enter the Anime",Documentary
"Dark Forces",Thriller
"The App","Science Fiction"
"The Open House",Horror
"Kaali Khuhi",Mystery
Drive,Action
"Leyla Everlasting",Comedy
"The Last Days of American Crime",Thriller
Paradox,Musical
"Sardar Ka Grandson",Comedy
"Searching for Sheela",Documentary
"The Call",Drama
Whipped,Rom-Com
"All Because of You",Action
Mercy,Thriller
"After the Raid",Documentary
"Ghost Stories",Horror
"The Last Thing He Wanted",Thriller
"What Happened to Mr. Cha?",Comedy
"Death Note",Horror
"Hello Privilege. It's Me, Chelsea",Documentary
"Secret Obsession",Thriller
Sextuplets,Comedy
"The Girl on the Train",Thriller
"Thunder Force",Comedy
"Fatal Affair",Thriller
"Just Say Yes",Rom-Com
"Seriously Single",Comedy
"The Misadventures of Hedi and Cokeman",Comedy
"5 Star Christmas",Comedy
"After Maria",Documentary
"I Am the Pretty Thing That Lives in the House",Horror
"Paris Is Us",Romance
"Porta dos Fundos: The First Temptation of Christ",Comedy
Rattlesnake,Horror
"The Players",Comedy
"We Are One",Documentary
"Finding Agnes",Drama
IO,"Science Fiction"
Sentinelle,Action
"Sol Levante",Anime
"The Binding",Drama
"We Can Be Heroes",Action
"Christmas Crossfire",Thriller
"Coin Heist",Thriller
"Mrs. Serial Killer",Thriller
"Nobody Sleeps in the Woods Tonight",Horror
"Take the 10",Comedy
"The Main Event",Comedy
"The Ridiculous 6",Drama
"Earth and Blood",Action
Fearless,Anime
"Holiday Rush",Drama
"The Day of the Lord",Drama
"Airplane Mode",Comedy
"How It Ends",Action
"Love Like the Falling Rain",Drama
Rebirth,Thriller
"Squared Love",Rom-Com
Cadaver,Horror
Clinical,Thriller
"Coffee & Kareem",Comedy
Dude,Comedy
"Geez & Ann",Romance
"The Larva Island Movie",Anime
#REALITYHIGH,Comedy
"American Factory: A Conversation with the Obamas",Interviews
Desperados,Rom-Com
"Dolly Parton's Christmas on the Square",Musical
"Father of the Year",Comedy
Firebrand,Drama
"Ghost Lab",Horror
"Girlfriend's Day",Comedy
"Handsome: A Netflix Mystery Movie",Comedy
"Hubie Halloween",Comedy
Ibiza,Comedy
"Rim of the World","Science Fiction"
"Sandy Wexler",Comedy
"See You Yesterday","Science Fiction"
"Still Laugh-In: The Stars Celebrate","Variety Show"
"Strip Down, Rise Up",Documentary
"Tall Girl",Comedy
"The Beast",Drama
"The Week Of",Comedy
"A Christmas Prince: The Royal Wedding",Rom-Com
"Back to School",Comedy
"Dangerous Lies",Thriller
"Gunjan Saxena: The Kargil Girl",Drama
Intuition,Thriller
"The Most Assassinated Woman in the World",Thriller
"Things Heard & Seen",Horror
"To Each, Her Own",Rom-Com
"Who Would You Take to a Deserted Island?",Drama
XOXO,Drama
"A Babysitter's Guide to Monster Hunting",Comedy
"A Christmas Prince: The Royal Baby",Rom-Com
"Despite Everything",Comedy
"Dolly Kitty Aur Woh Chamakte Sitare",Drama
"Freaks: You're One of Us",Supernatural
"Game Over, Man!",Action
Guilty,Thriller
"In the Tall Grass",Horror
"Madame Claude",Drama
Naked,Comedy
"Outside the Wire","Science Fiction"
"The Princess Switch: Switched Again",Rom-Com
"Under the Riccione Sun",Rom-Com
"A Very Murray Christmas",Comedy
"Been So Long",Musical
"Dead Kids",Thriller
"Get the Grift",Comedy
"Ghosts of Sugar Land",Documentary
"House Arrest",Comedy
"Kevin Hart's Guide to Black History","Variety Show"
"Love Wedding Repeat",Rom-Com
Mute,"Science Fiction"
Ã’lÃ²turÃ©,Drama
"Red Dot",Thriller
"Ride or Die",Thriller
"Step Sisters",Comedy
"The Cloverfield Paradox","Science Fiction"
"The Knight Before Christmas",Rom-Com
"The Legacy of a Whitetail Deer Hunter",Comedy
"The Package",Comedy
"Unicorn Store",Comedy
"Wine Country",Comedy
"Bomb Scared",Comedy
"Brahman Naman",Comedy
"Double Dad",Comedy
"Falling Inn Love",Rom-Com
"Hold the Dark",Thriller
"Love, Guaranteed",Rom-Com
"One-Way to Tomorrow",Romance
"Sarah Cooper: Everything's Fine","Variety Show"
"The Last Laugh",Comedy
"The Last Paradiso",Rom-Com
"The Midnight Sky","Science Fiction"
"The Paramedic",Thriller
"The Sleepover",Comedy
"Vampires vs. the Bronx",Horror
"Why Did You Kill Me?",Documentary
"A Week Away",Musical
"Caught by a Wave",Romance
"Christmas Inheritance",Romance
"Dad Wanted",Drama
"El Camino Christmas",Comedy
Eli,Horror
"Ginny Weds Sunny",Rom-Com
"Good Sam",Drama
Lionheart,Comedy
"Little Evil",Comedy
"One Take",Documentary
"Out of Many, One",Documentary
"Point Blank",Action
"Prime Time",Thriller
"The Do-Over",Action
"The Holiday Calendar",Rom-Com
"The Woman in the Window",Thriller
"The Wrong Missy",Comedy
"Velvet Buzzsaw",Thriller
"Yes Day",Comedy
15-Aug,Comedy
"A California Christmas",Rom-Com
"A Christmas Prince",Rom-Com
"All Day and a Night",Drama
"American Son",Drama
Barry,Biopic
"Candy Jar",Comedy
"Choked: Paisa Bolta Hai",Drama
"Class of '83",Drama
Extinction,"Science Fiction"
"Happy Anniversary",Rom-Com
"I Am All Girls",Thriller
"Let It Snow",Rom-Com
Mascots,Satire
"Operation Christmas Drop",Rom-Com
"Rajma Chawal",Comedy
"Rich in Love",Rom-Com
"Rising High",Satire
"Rodney King",Interviews
"Sierra Burgess Is a Loser",Rom-Com
"Small Crimes",Comedy
"Special Correspondents",Satire
TAU,"Science Fiction"
"The After Party",Comedy
"The Babysitter: Killer Queen",Comedy
"The Claus Family",Anime
"The Kissing Booth 2",Rom-Com
"The Perfect Date",Rom-Com
"What We Wanted",Drama
"You've Got This",Rom-Com
"6 Balloons",Drama
"A Fall from Grace",Thriller
Amateur,Drama
"Army of the Dead",Horror
Cam,Horror
"Earthquake Bird",Mystery
"Frankenstein's Monster's Monster, Frankenstein",Satire
"Horse Girl",Drama
"Notes from Dunblane: Lesson from a School Shooting",Documentary
Maska,Rom-Com
"The Decline",Thriller
"The Minimalists: Less Is Now",Documentary
"The Polka King",Comedy
"The Prom",Musical
"True Memoirs of an International Assassin",Action
Ultras,Action
"Come Sunday",Biopic
"Forgive Us Our Debts",Drama
iBoy,"Science Fiction"
Lovefucked,Drama
Juanita,Drama
"Murder Mystery",Comedy
"Project Power","Science Fiction"
Rebecca,Romance
"The Christmas Chronicles: Part Two",Comedy
"The Kissing Booth",Rom-Com
"The Princess Switch",Rom-Com
"To All the Boys: P.S. I Still Love You",Rom-Com
"War Machine",Comedy
"6 Underground",Action
"Between Two Ferns: The Movie",Comedy
"Burning Sands",Drama
"Casting JonBenet",Documentary
"Deidra & Laney Rob a Train",Drama
"Finding 'Ohana",Drama
Holidate,Rom-Com
"Holiday in the Wild",Romance
"Hot Girls Wanted",Documentary
"Like Father",Comedy
"Lost Girls",Mystery
Otherhood,Comedy
"Pee-wee's Big Holiday",Drama
"Rogue City",Drama
Sergio,Biopic
"Stuck Apart",Drama
"Tersanjung the Movie",Drama
"The Killer",Drama
"The Lovebirds",Rom-Com
"The Most Hated Woman in America",Biopic
